"","Chr","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val","DifExpressed","start_position","end_position","strand","percentage_gene_gc_content","transcript_length","cds_length","Description"
"ENSG00000250977","4",17.8924523483408,-3.06545386423865,0.844635825719009,-3.62932020037053,0.000284168579030261,0.0407454885183366,"DOWN",138664725,138665569,"-",43.67,563,NA,"novel transcript"
"FSTL4","5",607.66148698404,1.98802727140079,0.526813095859855,3.77368612706176,0.000160853111443058,0.0308761377250936,"UP",133196455,133612541,"-",46.68,5396,2529,"follistatin like 4"
"GLRA1","5",38.846099689964,1.89396001560323,0.521920423976977,3.62882908695441,0.000284709648540432,0.0407454885183366,"UP",151822513,151924851,"-",41.69,1812,1350,"glycine receptor alpha 1"
"COL23A1","5",308.761910349786,1.2126260471133,0.284847907253466,4.25710007423109,2.07095669040846e-05,0.00894431402039625,"UP",178237476,178590393,"-",50.61,2764,495,"collagen type XXIII alpha 1 chain"
"N4BP3","5",477.454944056012,0.949955262166853,0.23340624432436,4.06996507277122,4.70201864972496e-05,0.015578496309897,"UP",178113532,178127034,"+",59.62,5985,1635,"NEDD4 binding protein 3"
"TNPO1","5",5087.35695284764,-0.582715093471867,0.156860312342512,-3.7148663340634,0.000203311135610866,0.0346716850465351,"DOWN",72816312,72916733,"+",37.25,11040,2613,"transportin 1"
"TMEM161B","5",610.824287377964,-0.593914604142943,0.148873793185359,-3.98938316432547,6.62453387604031e-05,0.018416204175392,"DOWN",88185575,88269476,"-",35.56,5735,1509,"transmembrane protein 161B"
"PCDHGA9","5",802.552058216735,-0.67865176857946,0.154465485767777,-4.39354957002978,1.11514747265381e-05,0.00586325147252285,"DOWN",141402778,141512975,"+",45.51,4776,2799,"protocadherin gamma subfamily A, 9"
"PCDHGB1","5",428.576589313656,-1.13127751068476,0.281740499174107,-4.01531733634669,5.93658627647806e-05,0.0171953100766108,"DOWN",141350099,141512975,"+",45.18,4748,2784,"protocadherin gamma subfamily B, 1"
"ENSG00000287862","5",67.9791011629697,-1.18646834980285,0.328378803604185,-3.61310881451707,0.000302547660411317,0.0418566739412676,"DOWN",87856395,88144507,"-",37.21,1977,NA,"novel transcript"
"BHMT","5",64.7626920563085,-1.7818897139841,0.493209800797915,-3.6128432790698,0.000302857766464973,0.0418566739412676,"DOWN",79111809,79132288,"+",41.65,748,NA,"betaine--homocysteine S-methyltransferase"
"GPR6","6",99.4921496577198,2.99087190842694,0.744690113219289,4.01626375231091,5.91280794483532e-05,0.0171953100766108,"UP",109978256,109980720,"+",58.9,1945,1134,"G protein-coupled receptor 6"
"GRM4","6",615.446390755073,1.7447722356359,0.433462289776779,4.02519960048752,5.69270089119669e-05,0.0171953100766108,"UP",34018643,34155622,"-",56,7368,2739,"glutamate metabotropic receptor 4"
"AKAP12","6",18784.036295716,1.12025460417143,0.25583610924028,4.37879784639507,1.19335762863297e-05,0.00614096757576958,"UP",151239967,151358559,"+",43.87,6597,5349,"A-kinase anchoring protein 12"
"TPD52L1","6",4049.78164185026,1.10167397938759,0.259204206014522,4.25021644643323,2.13564039909473e-05,0.00906185941973773,"UP",125119049,125264407,"+",39.16,684,276,"TPD52 like 1"
"PEX6","6",1879.85255109731,0.803780273375422,0.216777943832128,3.70785080422143,0.000209025740441129,0.0353531227853786,"UP",42963865,42979181,"-",51.99,3444,2943,"peroxisomal biogenesis factor 6"
"STK19","6",545.704924266142,0.665539581952991,0.184465960057406,3.60792626317546,0.000308654176538763,0.0424153972373098,"UP",31971091,31982821,"+",53.1,1889,765,"serine/threonine kinase 19"
"EHMT2","6",4241.70475526908,0.600501776256858,0.117225840905736,5.12260583176141,3.01341859779742e-07,0.00040490301225738,"UP",31879759,31897698,"-",53.84,1517,NA,"euchromatic histone lysine methyltransferase 2"
"ADGRF5","6",1464.02763699466,-0.811015169916894,0.219581093210011,-3.69346539841309,0.000221218623185958,0.0361841068960181,"DOWN",46852522,46954943,"-",41.65,5761,4041,"adhesion G protein-coupled receptor F5"
"ENSG00000289178","6",441.292184551517,-3.3141841307479,0.929925458058098,-3.56392450817369,0.000365351070085446,0.0460228176098261,"DOWN",94546175,94735940,"-",34.09,1964,NA,"novel transcript"
"SP8","7",80.6612758188549,1.45496737225312,0.392995431206474,3.70225009432412,0.000213695812502185,0.0355963814825462,"UP",20782279,20786886,"-",54.28,3626,1527,"Sp8 transcription factor"
"GRID2IP","7",147.90850037156,1.22248002431776,0.2991546499147,4.08644834591853,4.38026950022103e-05,0.0147140552961591,"UP",6496778,6551461,"-",54.45,4657,3636,"Grid2 interacting protein"
"SH2B2","7",269.73136594744,1.10818935052243,0.281229679431473,3.94051350754556,8.13073719907206e-05,0.0218500010996396,"UP",102285091,102321711,"+",56.99,490,144,"SH2B adaptor protein 2"
"FZD9","7",231.378478889867,1.07725889625369,0.297047567429488,3.62655350311666,0.000287229326590492,0.0408642852524568,"UP",73433778,73436120,"+",68.46,2343,1776,"frizzled class receptor 9"
"SSPOP","7",740.811130020342,0.951809394981806,0.260961045439637,3.64732365851121,0.000264986052012379,0.0388421372967963,"UP",149776042,149833829,"+",61.02,15799,NA,"SCO-spondin, pseudogene"
"SMARCD3","7",3419.23601993442,0.67016608397734,0.12932187231942,5.1821557479624,2.19335939451247e-07,0.000358791047866046,"UP",151238764,151277896,"-",56.14,468,NA,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3"
"CCDC136","7",3946.72100347022,0.513802540372438,0.132218581751915,3.88600855919403,0.000101905914935642,0.0248959238245802,"UP",128790757,128822132,"+",48.94,723,411,"coiled-coil domain containing 136"
"ZNF727","7",1175.62079414235,-1.37201761154277,0.361885877411427,-3.79129912821364,0.000149861328199394,0.0294376788157828,"DOWN",64045429,64114556,"+",40.83,1881,NA,"zinc finger protein 727"
"ABCA13","7",150.278535052576,-3.41199457446424,0.636230935772402,-5.36282406689637,8.19307971964847e-08,0.000220175362332687,"DOWN",48171458,48647497,"+",38.84,3528,954,"ATP binding cassette subfamily A member 13"
"MIR3147HG","7",30.1300423820484,-3.75605629225712,1.01714530792753,-3.69274307513664,0.00022184812424716,0.0361841068960181,"DOWN",57404172,57419535,"+",49.82,1527,NA,"MIR3147 host gene"
"ENSG00000237268","7",113.893745871151,-5.09648384277896,1.13828540965563,-4.47733389143662,7.55809933722175e-06,0.0049405456910823,"DOWN",56421857,56432702,"-",35.79,1621,NA,"pseudogene similar to part of coiled-coil domain containing 144A CCDC144A"
"NPBWR1","8",26.196042788801,2.24500925538804,0.510606412464496,4.39675100152436,1.09883276568147e-05,0.00586325147252285,"UP",52939182,52943734,"+",54.89,4209,987,"neuropeptides B and W receptor 1"
"POLR3D","8",1546.04013118953,0.561440540906898,0.144812467128856,3.87701799464075,0.000105744540146267,0.0253221529502734,"UP",22245133,22254601,"+",49.41,5336,1197,"RNA polymerase III subunit D"
"SHARPIN","8",1323.93972123199,0.427796897316147,0.101262231550394,4.2246441814118,2.39318594766595e-05,0.00974891396347632,"UP",144098633,144108124,"-",60.75,533,288,"SHANK associated RH domain interactor"
"TP53INP1","8",608.457429860517,-0.646441257736342,0.17561808022027,-3.68094934716026,0.000232367167703107,0.0368568058514062,"DOWN",94925972,94949378,"-",42.48,5631,495,"tumor protein p53 inducible nuclear protein 1"
"HPYR1","8",32.2066202283798,-1.58136756771217,0.44014644044613,-3.59282143940391,0.000327116754285875,0.0429385396995739,"DOWN",132507962,132565246,"-",42.44,2147,NA,"Helicobacter pylori responsive 1"
"ENSG00000227619","9",30.5804285464135,3.65397151767388,0.876794093765832,4.16742259517291,3.08063069636927e-05,0.011641895940998,"UP",129575117,129584557,"+",53.72,1860,NA,"novel transcript"
"PCA3","9",807.037060373816,1.04768692862607,0.291643829184458,3.59235075041974,0.000327708350396578,0.0429385396995739,"UP",76691980,76863307,"+",41.15,1820,NA,"prostate cancer associated 3"
"RALGDS","9",2600.29645730939,1.0202472149562,0.246623933013015,4.13685404531424,3.52099911712143e-05,0.0125233653892204,"UP",133097720,133149334,"-",58.92,5596,NA,"ral guanine nucleotide dissociation stimulator"
"BSPRY","9",181.16264615183,0.973923885025489,0.25200492323583,3.86470181820248,0.00011122499255157,0.0254019842738874,"UP",113349541,113371233,"+",46.76,2328,1209,"B-box and SPRY domain containing"
"AGPAT2","9",299.810926602574,0.917878329112667,0.228289942764174,4.02066914555603,5.80330629797643e-05,0.0171953100766108,"UP",136673143,136687457,"-",62.71,1391,741,"1-acylglycerol-3-phosphate O-acyltransferase 2"
"GPSM1","9",1809.57514148172,0.802847669095428,0.211796609303407,3.79065402291363,0.000150251125171513,0.0294376788157828,"UP",136327476,136359605,"+",66.05,2270,1374,"G protein signaling modulator 1"
"CCDC107","9",226.701170478519,0.783731117806059,0.210967640829766,3.71493521339828,0.000203255763488906,0.0346716850465351,"UP",35658290,35661511,"+",52.82,1173,771,"coiled-coil domain containing 107"
"NELFB","9",2813.65320422501,0.412033212454041,0.112962955359709,3.6475073721469,0.000264796716206269,0.0388421372967963,"UP",137255327,137273542,"+",56.43,2540,1887,"negative elongation factor complex member B"
"STX17","9",1574.48665635253,-0.415397551625032,0.116081624414882,-3.57849533652611,0.000345578033629806,0.0442230175733888,"DOWN",99906654,99974534,"+",36.39,6885,909,"syntaxin 17"
"TMC1","9",134.526574609302,-0.943357753837185,0.258920305105639,-3.64342902134422,0.000269029864307862,0.0391973270972889,"DOWN",72521608,72838297,"+",39.22,465,NA,"transmembrane channel like 1"
"DMRTA1","9",99.3377054849106,-1.66972340814951,0.471348829281461,-3.54243673564415,0.000396448505347034,0.0494252760325947,"DOWN",22446824,22455740,"+",37.6,5586,1515,"DMRT like family A1"
"WDR38","9",94.6358856531779,-2.83871987985402,0.766601924783677,-3.70299080667591,0.000213072606280863,0.0355963814825462,"DOWN",124853417,124857890,"+",57.87,1265,945,"WD repeat domain 38"
"PCAT7","9",57.3293182121261,-5.26291132045173,1.3868975096064,-3.79473701841554,0.000147800031116607,0.0294376788157828,"DOWN",94554599,94603990,"+",45.7,1200,NA,"prostate cancer associated transcript 7"
"ENSG00000214067","10",49.3882859922846,1.2576672178795,0.326608367113598,3.85068891221049,0.000117786034972954,0.026377528165332,"UP",110257064,110257843,"+",43.08,468,NA,"ribosomal protein L21 (RPL21) pseudogene"
"SYT15","10",171.890719955439,1.18944123612078,0.311076731328788,3.82362650861089,0.000131503069555846,0.027853850671689,"UP",46578217,46594173,"+",52.37,6428,1425,"synaptotagmin 15"
"ARHGAP19","10",391.638493547749,-0.688463262763428,0.178930594530688,-3.84765536921832,0.000119253648132574,0.0264611810434351,"DOWN",97222173,97292673,"-",42.77,5525,902,"Rho GTPase activating protein 19"
"ENSG00000215146","10",599.260921326095,-1.09227611004525,0.304105216292846,-3.59177038579114,0.000328439173258132,0.0429385396995739,"DOWN",42336101,42353011,"-",34.24,2213,NA,"zinc finger protein pseudogene"
"ENSG00000236154","10",137.054940135398,-2.08191259983202,0.5346762620303,-3.89378161642426,9.86935058245273e-05,0.0248645951236669,"DOWN",69570513,69577168,"+",56.51,948,NA,"novel transcript"
"STARD10","11",1150.83030790883,1.05034173298579,0.261857553082529,4.01111871940067,6.04317107629172e-05,0.0171953100766108,"UP",72754729,72794047,"-",54.41,426,426,"StAR related lipid transfer domain containing 10"
"GDPD5","11",538.522390874076,0.934913110554076,0.24965725205117,3.74478651380196,0.000180547233200126,0.0333337052074676,"UP",75434640,75525941,"-",53.42,4150,1404,"glycerophosphodiester phosphodiesterase domain containing 5"
"OSBPL5","11",1402.73008988863,0.5579298330204,0.155260755143841,3.5935019928475,0.000326263152363672,0.0429385396995739,"UP",3087107,3166739,"-",57,3854,2640,"oxysterol binding protein like 5"
"RNASEH2C","11",1339.79522003508,0.51766772173194,0.13864153846866,3.73385730892592,0.000188569354700212,0.0339058089689926,"UP",65714005,65720818,"-",55.55,1807,NA,"ribonuclease H2 subunit C"
"PHRF1","11",5503.22747951407,0.49336383626524,0.133671623554376,3.69086439699408,0.000223493266382061,0.0361841068960181,"UP",576470,612222,"+",56.31,5278,4947,"PHD and ring finger domains 1"
"EXPH5","11",958.452879520092,-1.23842483569681,0.290350799090465,-4.26527097420164,1.99659730752977e-05,0.00883872601283974,"DOWN",108505435,108593768,"-",41.4,10304,5970,"exophilin 5"
"TMEM233","12",152.734771953054,1.81439853673688,0.469198283783573,3.86701869858886,0.000110173983298049,0.0254019842738874,"UP",119593774,119643075,"+",43.61,2775,330,"transmembrane protein 233"
"ARID2","12",2343.54091865228,-0.406891157917853,0.111443417070027,-3.65110087805525,0.000261118644738595,0.0388421372967963,"DOWN",45729706,45908040,"+",36.08,735,NA,"AT-rich interaction domain 2"
"ATF7IP","12",4801.38766553506,-0.507031701837488,0.12676965379303,-3.99962993245442,6.34416094587022e-05,0.0178418461205601,"DOWN",14365676,14502931,"+",36.09,2298,NA,"activating transcription factor 7 interacting protein"
"MGAT4C","12",1163.6294720481,-0.963077425382144,0.210788600807469,-4.56892555713581,4.90230852441363e-06,0.00408852530936097,"DOWN",85955666,86838904,"-",34.58,25471,1437,"MGAT4 family member C"
"PDE3A","12",710.203413756387,-1.0004575329623,0.2661733636526,-3.75866885864681,0.000170819737530323,0.0320267145109178,"DOWN",20368537,20688583,"+",35.94,12486,3426,"phosphodiesterase 3A"
"MFAP5","12",28.1052037995795,-2.55293516507593,0.629349398150857,-4.05646715890556,4.98205639315654e-05,0.0162832453952546,"DOWN",8637346,8662888,"-",42.51,585,491,"microfibril associated protein 5"
"ANKRD26P3","13",700.778008322695,-2.95485863645078,0.809759675474621,-3.64905628910066,0.00026320543266974,0.0388421372967963,"DOWN",19284985,19344825,"-",36.69,3007,NA,"ankyrin repeat domain 26 pseudogene 3"
"MIS18BP1","14",701.458696146028,-0.691154248515504,0.181347051556828,-3.81122407330079,0.000138280349529116,0.0281046095269849,"DOWN",45203190,45253540,"-",37.65,4577,3399,"MIS18 binding protein 1"
"TDRD9","14",282.326257997535,-1.02539927937411,0.248425227763235,-4.12759721951984,3.66573467963106e-05,0.0126656369945081,"DOWN",103928456,104052667,"+",42.7,4788,4149,"tudor domain containing 9"
"ACTBP7","15",149.894237085866,1.59715658608826,0.443546695215272,3.60087585662901,0.000317146991812108,0.0429385396995739,"UP",43989061,43990184,"-",57.3,1124,NA,"ACTB pseudogene 7"
"TPM1-AS","15",119.933802208296,0.996297463543503,0.272100349073007,3.66150748037515,0.000250735538815323,0.0381401870552667,"UP",62971190,63049387,"-",45.47,821,NA,"TPM1 antisense RNA"
"WASH3P","15",326.865174065943,0.832680337440054,0.234321718112024,3.55357729598913,0.000380029500535571,0.0476238005178928,"UP",101966075,101976266,"+",56.45,1394,NA,"WASP family homolog 3, pseudogene"
"MSLN","16",59.7240100260401,2.35759701045036,0.5254370960616,4.48692532012237,7.22583882732048e-06,0.00485455938548814,"UP",760734,768865,"+",66.92,2197,1869,"mesothelin"
"SPIRE2","16",1371.08491891904,0.723845381830907,0.184806139893031,3.91678210610255,8.97387897404817e-05,0.0233469106597566,"UP",89818179,89871319,"+",54.79,663,NA,"spire type actin nucleation factor 2"
"TELO2","16",1334.51462829039,0.604968893603428,0.156546284793196,3.86447301769323,0.000111329295172086,0.0254019842738874,"UP",1493344,1510457,"+",63.09,1667,1281,"telomere maintenance 2"
"STUB1","16",5474.55302793178,0.587288773315763,0.135189166143203,4.34419998340446,1.39784133768487e-05,0.00662905697906791,"UP",680224,682870,"+",64.94,1560,696,"STIP1 homology and U-box containing protein 1"
"DEF8","16",3522.70585898589,0.494698446856787,0.134071106147801,3.68982147660831,0.000224411479136803,0.0361841068960181,"UP",89948697,89968060,"+",56.83,3620,1356,"differentially expressed in FDCP 8 homolog"
"CACNA1G","17",1163.7662068222,1.95791152468541,0.442195367055648,4.42770700589231,9.52401529322532e-06,0.00561823985077921,"UP",50560715,50627474,"+",56.94,7497,6786,"calcium voltage-gated channel subunit alpha1 G"
"ENSG00000235296","17",59.4891963894341,1.70477366825763,0.454794694940623,3.74844668863211,0.000177933148180199,0.0331037778606637,"UP",81941719,81956167,"+",54.23,1660,NA,"novel transcript"
"MYADML2","17",60.8510686583656,1.66792776376768,0.448094210547761,3.72227028269069,0.000197439509887197,0.0346034201893605,"UP",81939645,81947233,"-",55.48,2452,924,"myeloid associated differentiation marker like 2"
"TMEM102","17",71.7237939132354,1.13473425870848,0.30884542471124,3.67411710815992,0.000238673254994683,0.0371009327943468,"UP",7435435,7437679,"+",63.96,1981,1527,"transmembrane protein 102"
"SLC2A4","17",156.89564888563,1.08964217661753,0.2694846518529,4.04342944626145,5.267501202768e-05,0.0168807347146429,"UP",7281718,7288257,"+",57.84,3375,1530,"solute carrier family 2 member 4"
"GPS2","17",429.475558619041,0.894501481661586,0.230131827369795,3.88690904637118,0.000101528773863233,0.0248959238245802,"UP",7311324,7315564,"-",56.28,1238,983,"G protein pathway suppressor 2"
"BAHCC1","17",3374.50163667184,0.832311305927701,0.231892468590138,3.58921232322893,0.000331678622232011,0.043128920200556,"UP",81395457,81466331,"+",63.19,10726,7827,"BAH domain and coiled-coil containing 1"
"SAT2","17",1393.14095511764,0.517369694079913,0.137363727369388,3.76642148540889,0.000165604130347873,0.031291417942138,"UP",7626234,7627876,"-",56.73,1563,NA,"spermidine/spermine N1-acetyltransferase family member 2"
"FAM106A","17",68.5286183736006,-2.20290084631477,0.53811964929095,-4.09370081396843,4.24542053448404e-05,0.0144619353587368,"DOWN",18511221,18625681,"-",38.99,4735,NA,"family with sequence similarity 106 member A"
"ADGRA3P1","18",58.3261631490291,-1.40007850817783,0.330287021537407,-4.23897524541171,2.24542414114584e-05,0.00936341866857817,"DOWN",12075205,12076654,"-",50.14,1450,NA,"ADGRA3 pseudogene 1"
"KISS1R","19",51.38199060262,3.46445081153143,0.785651995756705,4.40965062170386,1.03537524138979e-05,0.00586325147252285,"UP",917287,921005,"+",69.78,507,291,"KISS1 receptor"
"AMH","19",155.466337215512,2.5416656482738,0.531940964547658,4.77809722820489,1.76961812282888e-06,0.00186086886603215,"UP",2249309,2252073,"+",71.68,534,NA,"anti-Mullerian hormone"
"ANGPTL4","19",2495.65846782149,2.09286056720769,0.500308952918939,4.18313635004405,2.87514831975434e-05,0.0110378313113617,"UP",8363289,8374370,"+",55.65,552,288,"angiopoietin like 4"
"FUT1","19",184.976135416143,1.48162910906764,0.398401062251038,3.71893865115763,0.00020006163001669,0.0346716850465351,"UP",48748011,48755390,"-",55.87,3425,1098,"fucosyltransferase 1 (H blood group)"
"TTC9B","19",1589.83200316543,1.34507444023416,0.253588368545458,5.30416457170053,1.13190164249302e-07,0.000273761731253363,"UP",40216058,40218384,"-",63.9,828,720,"tetratricopeptide repeat domain 9B"
"GRIN2D","19",502.246035159826,1.32033791248533,0.286540355533418,4.60786024372522,4.06833950955464e-06,0.0035359017115654,"UP",48393668,48444931,"+",52.92,5511,4011,"glutamate ionotropic receptor NMDA type subunit 2D"
"VSTM2B-DT","19",299.29951576927,0.91827834971945,0.202852755345081,4.52682216791845,5.98772864709531e-06,0.00452560015808272,"UP",29286592,29529156,"-",48.48,1190,NA,"VSTM2B divergent transcript"
"CTU1","19",188.40496289848,0.83738240634243,0.223976187382159,3.73871176275382,0.000184965650778031,0.033635934058026,"UP",51097606,51108409,"-",54.38,2126,1047,"cytosolic thiouridylase subunit 1"
"RINL","19",239.501116682225,0.824216691779776,0.15771227360298,5.22607830671844,1.73143054797613e-07,0.000322125994102697,"UP",38867830,38878275,"-",53.23,3058,1701,"Ras and Rab interactor like"
"TPGS1","19",534.468234488944,0.791766202733065,0.185695793376972,4.26378103851678,2.00996415573549e-05,0.00883872601283974,"UP",507497,519654,"+",61.72,1114,873,"tubulin polyglutamylase complex subunit 1"
"DLL3","19",168.377182526333,0.783990504173307,0.210276816584406,3.728373469353,0.000192719629715917,0.0342729188552144,"UP",39498895,39508481,"+",56.84,1375,NA,"delta like canonical Notch ligand 3"
"VSTM2B","19",2202.84609296911,0.751674842921261,0.168755454349809,4.45422546973286,8.419658469848e-06,0.00522148358337804,"UP",29525994,29564551,"+",51.49,2065,858,"V-set and transmembrane domain containing 2B"
"TMEM160","19",1065.34304993387,0.741833242458196,0.195341507505124,3.79762218451569,0.000146090769854808,0.0294376788157828,"UP",47045909,47048624,"-",61.56,655,567,"transmembrane protein 160"
"ZNF653","19",577.292488856275,0.671031433835177,0.175310996030309,3.82766311885631,0.000129365649853361,0.0276888283836584,"UP",11483427,11505839,"-",55.65,674,652,"zinc finger protein 653"
"FXYD7","19",1610.13150523501,0.652104735387468,0.169872104263936,3.83879824302564,0.000123637970807665,0.0271846178359473,"UP",35143250,35154302,"+",52.39,456,234,"FXYD domain containing ion transport regulator 7"
"SPTBN4","19",10656.9917160328,0.650220267907856,0.167923790744195,3.87211523171463,0.000107894918164036,0.0254019842738874,"UP",40466241,40576464,"+",51.05,6105,6009,"spectrin beta, non-erythrocytic 4"
"LMNB2","19",2318.55181741105,0.537298513576716,0.123495093887084,4.35076808855248,1.35661476782424e-05,0.00656221695491944,"UP",2427638,2456959,"-",59.73,769,NA,"lamin B2"
"EPN1","19",10478.0994655629,0.52081089278223,0.139219248147532,3.74094027738407,0.000183333085509936,0.0335916212586615,"UP",55675226,55709858,"+",54.85,16219,1731,"epsin 1"
"CACTIN","19",1638.51167719066,0.501555468029008,0.139200344361911,3.60311944864876,0.000314420948955008,0.0429385396995739,"UP",3610645,3626815,"-",61.59,699,354,"cactin, spliceosome C complex subunit"
"PKN1","19",4331.89033792296,0.458433056849164,0.117611202374622,3.89786897500578,9.70428950830736e-05,0.0248645951236669,"UP",14433053,14471867,"+",53.14,582,44,"protein kinase N1"
"LONP1","19",5218.39417961356,0.420121817621206,0.108590218635653,3.86887348510474,0.000109339354289091,0.0254019842738874,"UP",5691834,5720572,"-",57.82,2816,NA,"lon peptidase 1, mitochondrial"
