"","Chr","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val","DifExpressed","start_position","end_position","strand","percentage_gene_gc_content","transcript_length","cds_length","Description"
"ZBTB17","1",2020.83673183148,0.468979852701708,0.114732854824627,4.08758113287218,4.35894255858643e-05,0.0066305273410045,"UP",15941869,15976132,"-",51.22,776,NA,"zinc finger and BTB domain containing 17"
"PIK3CD","1",1373.75248706216,0.417298746241424,0.118038545513012,3.53527523088146,0.000407350631581637,0.0228448606767814,"UP",9629889,9729114,"+",51.08,525,NA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
"SLC30A7","1",949.239535638625,-0.33326612179346,0.101395390237486,-3.28679756557858,0.00101333650274489,0.0374748572712353,"DOWN",100896076,100996260,"+",36.07,7898,1131,"solute carrier family 30 member 7"
"ZMYM6","1",622.233128021592,-0.356493705408816,0.11225844495771,-3.17565155604208,0.00149500405710662,0.045081686220397,"DOWN",34986165,35031945,"-",38.78,6241,NA,"zinc finger MYM-type containing 6"
"CLCC1","1",2508.33900986323,-0.387485443163082,0.121608495992503,-3.18633529672934,0.00144087502237939,0.0439320072014925,"DOWN",108881885,108963527,"-",39.62,2332,1656,"chloride channel CLIC like 1"
"MTF2","1",925.707760502836,-0.396434869077158,0.12664681664985,-3.13023950829505,0.00174663831613759,0.0484451769657153,"DOWN",93079235,93139079,"+",37.37,3845,1476,"metal response element binding transcription factor 2"
"EFCAB7","1",611.26769010564,-0.429368718669729,0.135403444497519,-3.17103246718068,0.00151898164839333,0.0451868592192863,"DOWN",63523372,63572693,"+",35.15,625,NA,"EF-hand calcium binding domain 7"
"ST7L","1",646.449028671476,-0.438479676066653,0.114574164415046,-3.82703795663966,0.000129694522058769,0.0120645835019746,"DOWN",112523514,112620825,"-",39.05,4348,1668,"suppression of tumorigenicity 7 like"
"ZBTB41","1",3240.81215936907,-0.485848824040779,0.145576174501213,-3.33741991576191,0.00084560086645199,0.0339692939812197,"DOWN",197153682,197201293,"-",33.74,8595,2730,"zinc finger and BTB domain containing 41"
"KLHL20","1",891.959354076665,-0.48740980675599,0.140896338603087,-3.45935041029739,0.000541479957965991,0.0265105956748289,"DOWN",173714941,173786692,"+",38.33,450,NA,"kelch like family member 20"
"DUSP12","1",217.053725818015,-0.503682501040023,0.143209383632186,-3.51710543167803,0.000436280451928411,0.0237781367469396,"DOWN",161749758,161757238,"+",39.87,1252,414,"dual specificity phosphatase 12"
"ZNF678","1",749.300936810312,-0.507858632139255,0.161086300881722,-3.15271149290436,0.00161761594990374,0.0466312984080714,"DOWN",227563543,227677443,"+",40.32,8543,1578,"zinc finger protein 678"
"IPP","1",539.179547622511,-0.508253028649715,0.148207727477981,-3.42932880288057,0.000605076019831236,0.0280424041354813,"DOWN",45694324,45750653,"-",42.35,1947,1749,"intracisternal A particle-promoted polypeptide"
"LBR","1",973.062114554522,-0.537970030051898,0.163879119867983,-3.2827246722174,0.00102809024164061,0.0374850850494741,"DOWN",225401502,225428925,"-",41.69,3748,1848,"lamin B receptor"
"PEA15","1",27658.7481976121,-0.562762365881602,0.177639367442712,-3.16800478397949,0.00153488994750001,0.0454936866056805,"DOWN",160205380,160215376,"+",51.75,1021,327,"proliferation and apoptosis adaptor protein 15"
"DAP3","1",1466.34706015187,-0.563371072896641,0.130891413991077,-4.3041102217373,1.67658183420858e-05,0.00389902002328545,"DOWN",155687960,155739010,"+",44.89,732,NA,"death associated protein 3"
"BCL10","1",376.310804348372,-0.571665480361284,0.162255461285398,-3.52324338319656,0.000426299694953268,0.0233797832701582,"DOWN",85265776,85276632,"-",39.27,2833,702,"BCL10 immune signaling adaptor"
"ZMPSTE24-DT","1",277.779961171984,-0.57178786788649,0.178283094493441,-3.20719061732197,0.00134038148773407,0.0427120772889804,"DOWN",40256333,40257994,"-",40.25,1662,NA,"ZMPSTE24 divergent transcript"
"SSR2","1",899.651909921956,-0.587697798627196,0.179578338979812,-3.27265416289023,0.00106542752653086,0.0379740759665294,"DOWN",156009048,156020951,"-",46.99,1108,552,"signal sequence receptor subunit 2"
"DRAM2","1",397.093598452391,-0.595417200216746,0.166630202436354,-3.57328498382021,0.000352530730281469,0.020988351687149,"DOWN",111117163,111140203,"-",37.87,2098,801,"DNA damage regulated autophagy modulator 2"
"SFT2D2","1",3684.59839948659,-0.598594124479395,0.16608220114483,-3.60420394451179,0.000313111127362942,0.0200126557477471,"DOWN",168225938,168253021,"+",43.38,666,NA,"SFT2 domain containing 2"
"TMEM50A","1",1294.97791513988,-0.599503616968512,0.151590852650141,-3.95474797118608,7.6615372325098e-05,0.00911259803014244,"DOWN",25338317,25362361,"+",41.71,776,NA,"transmembrane protein 50A"
"SUCO","1",2125.01061592581,-0.599649702191077,0.163698527043174,-3.66313437892404,0.000249147748245806,0.0174158596505002,"DOWN",172532349,172611833,"+",36.42,5916,4218,"SUN domain containing ossification factor"
"ATF6","1",3037.25089427164,-0.607141246011174,0.130430453124252,-4.65490406165185,3.24131596997651e-06,0.0015998871030582,"DOWN",161766298,161977574,"+",37.99,3111,2070,"activating transcription factor 6"
"ZMYM1","1",360.315101830248,-0.614000295343771,0.128725921768167,-4.76982636371851,1.84384785226114e-06,0.00128762631500425,"DOWN",35032172,35118818,"+",41.81,7802,3429,"zinc finger MYM-type containing 1"
"PSMB4","1",1572.26808613938,-0.623563420595542,0.189264827140236,-3.29466087290224,0.000985405224404914,0.0370665570839081,"DOWN",151399560,151401937,"+",49.12,986,NA,"proteasome 20S subunit beta 4"
"SIKE1","1",1099.51772027354,-0.629337033695438,0.159205292609928,-3.95299065362977,7.71804529099787e-05,0.00911259803014244,"DOWN",114769479,114780685,"-",36.9,5494,624,"suppressor of IKBKE 1"
"RO60","1",5374.47984268846,-0.643903983874191,0.200007132867958,-3.21940510141349,0.00128456871213521,0.0416908539320174,"DOWN",193059454,193091777,"+",35.95,8291,1617,"Ro60, Y RNA binding protein"
"SEC22B","1",1346.16333746577,-0.655913535744856,0.160950804556253,-4.07524235466379,4.59664497220545e-05,0.00669725634323861,"DOWN",120150898,120176520,"-",36.14,6927,648,"SEC22 homolog B, vesicle trafficking protein"
"ALG6","1",152.590522345279,-0.66918900492434,0.162697438823972,-4.11308874780972,3.90400213881911e-05,0.00621198656114994,"DOWN",63367575,63438553,"+",37.94,1841,585,"ALG6 alpha-1,3-glucosyltransferase"
"GCLM","1",1085.86034897467,-0.684195486219114,0.207004782723566,-3.30521583712772,0.000949032849644967,0.0364917464252992,"DOWN",93885199,93909456,"-",36.37,4883,825,"glutamate-cysteine ligase modifier subunit"
"LEPROT","1",1210.40569281661,-0.685940082240908,0.186315418193102,-3.68160664798006,0.000231768802014128,0.016778944215312,"DOWN",65420587,65436007,"+",40.78,492,222,"leptin receptor overlapping transcript"
"LEPR","1",747.85185891184,-0.691482990991853,0.205818781527865,-3.35966905380905,0.000780358911336307,0.0324573822768541,"DOWN",65420652,65641559,"+",37.78,3079,2877,"leptin receptor"
"RPS8","1",6300.02587401432,-0.701079775034414,0.211584914618581,-3.31346767466023,0.00092146757985845,0.0357730576026589,"DOWN",44775251,44778779,"+",55.11,694,NA,"ribosomal protein S8"
"CAPZA1","1",1704.62795673616,-0.773874653496138,0.196339708506881,-3.94150861983691,8.09707246181724e-05,0.00924081931917809,"DOWN",112619805,112671616,"+",40.14,739,NA,"capping actin protein of muscle Z-line subunit alpha 1"
"HMGN2","1",3144.90872402612,-0.83065583109517,0.245006507072945,-3.39034191793062,0.00069805500742087,0.0304034749770644,"DOWN",26472440,26478209,"+",46.05,1940,273,"high mobility group nucleosomal binding domain 2"
"SELENOF","1",1356.86750865529,-0.906255151228074,0.232554468030325,-3.89695867339732,9.74082331516548e-05,0.0102705485221552,"DOWN",86862445,86914424,"-",37.87,1542,498,"selenoprotein F"
"H2AC20","1",1568.79799911106,-0.910619625277828,0.286497464907291,-3.17845613598187,0.00148061619257947,0.0447068454853023,"DOWN",149886918,149887411,"+",58.3,494,390,"H2A clustered histone 20"
"SRP9","1",2601.08561398466,-0.961731973689266,0.231213227734515,-4.15950239141833,3.18941681837632e-05,0.00575665934098878,"DOWN",225777813,225790468,"+",40.6,377,249,"signal recognition particle 9"
"ADORA3","1",142.290243520377,-1.09543080650225,0.298589563040114,-3.66868418088371,0.000243802025739416,0.0171098781323925,"DOWN",111499429,111503633,"-",39.38,1757,957,"adenosine A3 receptor"
"ENSG00000232057","2",193.061097492967,1.94998893025688,0.511095543702119,3.8153119397836,0.000136011007121258,0.0125078411339724,"UP",1824412,1834145,"+",53.74,3403,NA,"novel transcript"
"ENSG00000289191","2",22.8665923529795,1.33170930165364,0.396267405813082,3.36063295168365,0.000777640936615888,0.0324573822768541,"UP",8281458,8282797,"-",50.82,1340,NA,"novel transcript"
"KCNK3","2",337.834891429842,1.06006451869279,0.280099475978783,3.78460014960215,0.000153955902357466,0.0134912226609336,"UP",26692722,26733420,"+",53.75,6191,1185,"potassium two pore domain channel subfamily K member 3"
"ERFE","2",105.375855604143,1.0182629823812,0.297150669118628,3.42675648485478,0.000610836588254255,0.0280579485346823,"UP",238158970,238168900,"+",61.86,2939,1065,"erythroferrone"
"NUDCP1","2",439.142596829971,0.973948256423505,0.267446874503593,3.64165129329421,0.000270894848012497,0.0181492044155962,"UP",152389937,152390630,"+",52.88,694,NA,"nuclear distribution C pseudogene 1"
"FBXO41","2",9637.86027419912,0.945449535045448,0.24723946740109,3.82402350637518,0.000131291389530313,0.012166335429809,"UP",73254682,73284478,"-",52.59,6928,2628,"F-box protein 41"
"KCNIP3","2",1246.87265393514,0.876338760548429,0.256287983865472,3.41935172820443,0.0006277053127706,0.028346238846354,"UP",95297327,95386077,"+",53.69,565,NA,"potassium voltage-gated channel interacting protein 3"
"SH3RF3-AS1","2",242.079352826736,0.825776211325461,0.230916258586547,3.57608518508004,0.000348778042439479,0.0209095106775959,"UP",109125905,109128930,"-",53.01,1604,NA,"SH3RF3 antisense RNA 1"
"HS6ST1","2",2793.99678167444,0.695167594517758,0.217572636292008,3.19510581093828,0.00139779583616657,0.0434632182135358,"UP",128236716,128318868,"-",53.2,559,NA,"heparan sulfate 6-O-sulfotransferase 1"
"SH3RF3","2",1815.52756217513,0.685787075495335,0.191440762905466,3.5822416557856,0.000340658442708443,0.0207535644719053,"UP",109129205,109504634,"+",48.61,5948,2649,"SH3 domain containing ring finger 3"
"HDAC4","2",5238.3866899466,0.631446719079339,0.182947756029854,3.45151387905681,0.000557451085433377,0.0268978100763773,"UP",239048168,239401654,"-",51.33,8976,3255,"histone deacetylase 4"
"RAB11FIP5","2",4068.35664814878,0.50645042171584,0.158450647721228,3.19626602351837,0.00139218688665438,0.0434326316842603,"UP",73073382,73156721,"-",48.58,6285,3975,"RAB11 family interacting protein 5"
"ZNF513","2",532.077517846728,0.469883553028866,0.143721794758133,3.2693966410566,0.00107777104811482,0.0380888978254215,"UP",27377235,27380790,"-",57.85,2077,1440,"zinc finger protein 513"
"ANKAR","2",521.465626913513,-0.345132281631314,0.0890619364796724,-3.87519399727051,0.000106539787142398,0.0106919970615189,"DOWN",189674290,189761193,"+",37.84,3734,2406,"ankyrin and armadillo repeat containing"
"PLEKHA3","2",1440.8588163613,-0.392515208009655,0.106163481019048,-3.69727145570171,0.000217929268240791,0.0165630840064514,"DOWN",178480457,178516463,"+",37.26,13892,903,"pleckstrin homology domain containing A3"
"WDSUB1","2",299.270792239167,-0.395049158232678,0.125883880937929,-3.1382028841919,0.00169987172870355,0.047996252403002,"DOWN",159235798,159286703,"-",39.04,1535,1155,"WD repeat, sterile alpha motif and U-box domain containing 1"
"CNOT9","2",1046.78069616228,-0.405219048057053,0.107164524462573,-3.78127976668786,0.000156024214302939,0.0135269279179774,"DOWN",218568580,218597080,"+",41.17,1621,996,"CCR4-NOT transcription complex subunit 9"
"MARCHF7","2",2971.34243499161,-0.430556753010479,0.132865195303607,-3.24055334451302,0.00119297948638922,0.0401299052264389,"DOWN",159712457,159771027,"+",38.09,3303,1908,"membrane associated ring-CH-type finger 7"
"CLIP4","2",4087.33360241947,-0.435489156278625,0.121616224506517,-3.58084752298233,0.00034248148489528,0.0208122040042142,"DOWN",29097705,29199777,"+",38.65,2322,1800,"CAP-Gly domain containing linker protein family member 4"
"OSGEPL1","2",294.08558666383,-0.495666895488333,0.145369884784438,-3.40969449224874,0.00065035687415708,0.0291828040043843,"DOWN",189746660,189763227,"-",39.12,1910,1245,"O-sialoglycoprotein endopeptidase like 1"
"PTCD3","2",3166.39261610387,-0.50514955185339,0.123343853882921,-4.09545782745592,4.21334922903727e-05,0.00644962433249971,"DOWN",86106223,86142157,"+",41.2,522,237,"pentatricopeptide repeat domain 3"
"PAPOLG","2",1178.70330973792,-0.55786085779269,0.173628944514799,-3.21294850551339,0.00131379842539152,0.0421426110298665,"DOWN",60756253,60802086,"+",39.59,7348,2211,"poly(A) polymerase gamma"
"CRIPT","2",1160.41848702609,-0.565732403819969,0.156174732094885,-3.62243236297825,0.000291845785133314,0.0188970711837065,"DOWN",46616416,46685037,"+",41.68,1724,NA,"CXXC repeat containing interactor of PDZ3 domain"
"ATF2","2",2958.39953750926,-0.607504376086082,0.176807279374952,-3.43596925552912,0.000590437971478232,0.0276750635235901,"DOWN",175072250,175168382,"-",36.05,4164,1518,"activating transcription factor 2"
"FEZ2","2",2751.24200197984,-0.610932770328002,0.187589760560838,-3.25674902778006,0.00112696027282684,0.0389034835948176,"DOWN",36531805,36646087,"-",40.54,430,NA,"fasciculation and elongation protein zeta 2"
"IDH1","2",872.501591440813,-0.631762015294488,0.189791306464695,-3.32871946066723,0.000872462375526788,0.0346492200566353,"DOWN",208236229,208266074,"-",41.27,2318,1245,"isocitrate dehydrogenase (NADP(+)) 1"
"FBXO48","2",130.466085501083,-0.63546969885775,0.190560139229006,-3.33474619313788,0.000853772865929629,0.0341311579097091,"DOWN",68459422,68467294,"-",40.06,5699,468,"F-box protein 48"
"ORMDL1","2",606.059751323377,-0.654439389978133,0.179094190245799,-3.65416314778242,0.000258022168339356,0.0176785387066733,"DOWN",189766012,189784364,"-",37.31,1987,477,"ORMDL sphingolipid biosynthesis regulator 1"
"ID2-AS1","2",526.179781317367,-0.703105280221003,0.223352143849642,-3.14796745669174,0.00164409996076402,0.0469955917639402,"DOWN",8666636,8681898,"-",48.52,953,NA,"ID2 antisense RNA 1"
"LAPTM4A","2",1394.24098964547,-0.712441816291192,0.198433319699457,-3.59033360612139,0.000330255002052472,0.0203849949099352,"DOWN",20032650,20051628,"-",41.26,1365,702,"lysosomal protein transmembrane 4 alpha"
"ODC1","2",1324.83917680333,-0.720080453798109,0.194890434537214,-3.69479628647762,0.000220063149986887,0.0165630840064514,"DOWN",10439968,10448327,"-",45.53,2358,132,"ornithine decarboxylase 1"
"FBXO36","2",358.097825692107,-0.784335389454228,0.238052732397915,-3.29479683578334,0.000984928600968547,0.0370665570839081,"DOWN",229922302,230013119,"+",43.78,3120,474,"F-box protein 36"
"SLC40A1","2",600.00866221231,-0.79525025800815,0.242679841582719,-3.27695227103189,0.00104934106023992,0.0378153395653945,"DOWN",189560590,189583758,"-",38.25,3330,1716,"solute carrier family 40 member 1"
"MMADHC","2",649.790592386547,-0.795920555289715,0.232493484524191,-3.42341015241182,0.000618406913385373,0.0282203577493182,"DOWN",149569637,149587778,"-",35.1,1392,891,"metabolism of cobalamin associated D"
"C1D","2",261.495265956196,-0.808635149153535,0.223021975041681,-3.62580929077687,0.000288057891220243,0.0188099874849127,"DOWN",68041130,68110948,"-",38.27,2233,426,"C1D nuclear receptor corepressor"
"HADHB","2",3495.43480978699,-0.845410593621844,0.222805381049483,-3.79439037620948,0.000148006655032312,0.013304064138669,"DOWN",26243170,26290465,"+",41.22,557,449,"hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta"
"SULT1C4","2",625.828222529308,-0.852908194769693,0.273798292369314,-3.1150968378548,0.00183884530134347,0.0495722423478499,"DOWN",108377911,108388989,"+",40.65,1757,NA,"sulfotransferase family 1C member 4"
"ENSG00000288048","2",110.6635656382,-0.882081048740402,0.273095324010064,-3.2299383079437,0.00123816931967039,0.0411312308059704,"DOWN",172234230,172237223,"+",47.73,2108,NA,"novel transcript"
"ARHGAP15","2",152.183339082399,-0.931713091222718,0.245983672897504,-3.78770298145334,0.000152046457342158,0.0134211518878738,"DOWN",143091362,143768352,"+",36.48,2968,417,"Rho GTPase activating protein 15"
"CYBRD1","2",2878.96018599958,-0.937279785128968,0.300848558039173,-3.11545380585446,0.00183662112943794,0.0495722423478499,"DOWN",171522247,171558129,"+",41.27,1493,687,"cytochrome b reductase 1"
"C2orf76","2",131.453347631525,-0.962816562555513,0.250874366909115,-3.83784351672849,0.000124119533083014,0.0119005648146978,"DOWN",119302225,119366834,"-",39.21,1150,381,"chromosome 2 open reading frame 76"
"RBM43","2",301.331490041914,-0.99927105785302,0.295553218718607,-3.38101903334172,0.00072217540274483,0.0309690324304724,"DOWN",151247940,151261863,"-",42.67,4176,1074,"RNA binding motif protein 43"
"ENSG00000227157","2",35.915152497804,-1.39242443003054,0.425015863959288,-3.27617048704781,0.00105225020786862,0.0378153395653945,"DOWN",104378996,104416783,"+",40.39,1926,NA,"novel transcript"
"TUBA4B","2",26.7558375269946,-3.06821529366987,0.943850999557616,-3.25074116053057,0.00115104600391236,0.0392101389445414,"DOWN",219253243,219272197,"+",49.64,1126,NA,"tubulin alpha 4b"
"COL6A4P2","3",37.6939046329616,2.25488679112032,0.625165849592137,3.60686175131195,0.000309922676515575,0.0198827317087684,"UP",130212823,130273327,"+",39.27,2753,NA,"collagen type VI alpha 4 pseudogene 2"
"SEMA3F","3",404.784725086326,1.41961777609738,0.40498314336825,3.50537497509254,0.000455964598754407,0.024277511980155,"UP",50155045,50189075,"+",57.74,936,793,"semaphorin 3F"
"COL7A1","3",807.937400567364,1.37179130032032,0.407532741712472,3.36608856151284,0.000762422261021213,0.0321818353468676,"UP",48564073,48595329,"-",60.15,651,NA,"collagen type VII alpha 1 chain"
"ENSG00000286962","3",21.5212966025421,1.28899978086749,0.394764494920142,3.26523736925288,0.00109372378978717,0.0385048087042104,"UP",10914196,10978368,"-",50.53,1527,NA,"novel transcript, antisense to SLC6A11"
"RN7SL4P","3",83159.3896537995,1.11831000905831,0.271326073571081,4.1216459381864,3.76175047419249e-05,0.00612182622690145,"UP",15738515,15738809,"+",58.64,295,NA,"RNA, 7SL, cytoplasmic 4, pseudogene"
"TNK2","3",8482.41365439773,1.07428036772826,0.237791999257115,4.51773134119068,6.25057207236692e-06,0.00223521521046761,"UP",195863364,195911945,"-",58.27,2850,1653,"tyrosine kinase non receptor 2"
"FGF12-AS2","3",63.084989118047,1.06928437046919,0.288873624806806,3.70156455503444,0.000214274123086558,0.0164521712411793,"UP",192515022,192516573,"+",52.64,580,NA,"FGF12 antisense RNA 2"
"CAMK2N2","3",1771.225529347,0.986218826758808,0.23556986797019,4.18652366389918,2.83259413721278e-05,0.00537609486295632,"UP",184259213,184261553,"-",69.03,1452,240,"calcium/calmodulin dependent protein kinase II inhibitor 2"
"GRIP2","3",552.08973558693,0.984730506282283,0.241115329064015,4.0840642944806,4.42547774841238e-05,0.00667416002332646,"UP",14489107,14556075,"-",52.35,7724,3132,"glutamate receptor interacting protein 2"
"MPRIPP1","3",173.147354121213,0.821118004465547,0.20204341004464,4.06406724319357,4.82249227316657e-05,0.00686098812463569,"UP",44579938,44581026,"-",59.78,1089,NA,"myosin phosphatase Rho interacting protein pseudogene 1"
