Geneid;Chr;Start;End;Strand;Length;Description
ABHD11;chr7;73736094;73736691;-;2274;abhydrolase domain containing 11
ABHD11-AS1;chr7;73734994;73735090;+;757;ABHD11 antisense RNA 1 (tail to tail)
ABHD12;chr20;25294742;25295030;-;4479;abhydrolase domain containing 12, lysophospholipase
ABHD12B;chr14;50872053;50872278;+;4551;abhydrolase domain containing 12B
ABHD13;chr13;108218392;108218659;+;5313;abhydrolase domain containing 13
ABHD14A;chr3;51971426;51971817;+;2313;abhydrolase domain containing 14A
ABHD14A-ACY1;chr3;51974706;51974840;+;4761;ABHD14A-ACY1 readthrough
ABHD14B;chr3;51968510;51969605;-;3161;abhydrolase domain containing 14B
ABHD15;chr17;29560547;29563086;-;3492;abhydrolase domain containing 15
ABHD16A;chr6;31686955;31687295;-;4059;abhydrolase domain containing 16A, phospholipase
ABHD17A;chr19;1876810;1877425;-;6163;abhydrolase domain containing 17A, depalmitoylase
ABHD17AP1;chr1;148146395;148146921;+;933;ABHD17A pseudogene 1
ABHD17AP3;chr1;214605470;214606079;-;1137;ABHD17A pseudogene 3
ABHD17AP4;chr22;20667836;20668220;-;909;ABHD17A pseudogene 4
ABHD17AP5;chr22;22114844;22115245;-;923;ABHD17A pseudogene 5
ABHD17AP6;chr17;20814620;20814728;+;1044;ABHD17A pseudogene 6
ABHD17B;chr9;71862452;71862607;-;3221;abhydrolase domain containing 17B, depalmitoylase
ABHD17C;chr15;80679684;80679761;+;3620;abhydrolase domain containing 17C, depalmitoylase
ABHD18;chr4;127965306;127965606;+;6733;abhydrolase domain containing 18
ABHD2;chr15;89087459;89087516;+;10068;abhydrolase domain containing 2, acylglycerol lipase
ABHD3;chr18;21650901;21651763;-;4337;abhydrolase domain containing 3, phospholipase
ABHD4;chr14;22598290;22598329;+;3765;abhydrolase domain containing 4, N-acyl phospholipase B
ABHD5;chr3;43690108;43690202;+;7539;abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
ABHD6;chr3;58237532;58237916;+;3563;abhydrolase domain containing 6, acylglycerol lipase
ABHD8;chr19;17292131;17292831;-;2162;abhydrolase domain containing 8
ABI1;chr10;26746593;26748745;-;4218;abl interactor 1
ABI1P1;chr14;55546674;55547138;+;1120;abl interactor 1 pseudogene 1
ABI2;chr2;203328280;203328631;+;23275;abl interactor 2
ABI3;chr17;49210411;49210841;+;2272;ABI family member 3
ABI3BP;chr3;100749156;100750610;-;10978;ABI family member 3 binding protein
ABITRAM;chr9;108934400;108934565;+;2525;actin binding transcription modulator
ABITRAMP1;chr13;46270077;46270617;+;541;ABITRAM pseudogene 1
ABL1;chr9;130713016;130714455;+;7018;ABL proto-oncogene 1, non-receptor tyrosine kinase
ABL2;chr1;179099330;179109441;-;16689;ABL proto-oncogene 2, non-receptor tyrosine kinase
ABLIM1;chr10;114431112;114436373;-;10209;actin binding LIM protein 1
ABLIM2;chr4;7965310;7967103;-;6166;actin binding LIM protein family member 2
ABLIM3;chr5;149141483;149141654;+;7225;actin binding LIM protein family member 3
ABO;chr9;133233278;133233609;-;7353;ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ABR;chr17;1003519;1006169;-;12532;ABR activator of RhoGEF and GTPase
ABR-AS1;chr17;1181893;1181928;+;235;ABR antisense RNA 1
ABRA;chr8;106759483;106761514;-;2754;actin binding Rho activating protein
ABRACL;chr6;139028745;139028875;+;1137;ABRA C-terminal like
ABRAXAS1;chr4;83459517;83462902;-;7699;abraxas 1, BRCA1 A complex subunit
ABRAXAS2;chr10;124801819;124801901;+;2955;abraxas 2, BRISC complex subunit
ABT1;chr6;26596953;26597223;+;2943;activator of basal transcription 1
ABT1P1;chr4;99022311;99023131;-;821;activator of basal transcription 1 pseudogene 1
ABTB1;chr3;127672935;127673081;+;6155;ankyrin repeat and BTB domain containing 1
ABTB2;chr11;34150987;34152584;-;4976;ankyrin repeat and BTB domain containing 2
ACAA1;chr3;38103129;38103793;-;7106;acetyl-CoA acyltransferase 1
ACAA2;chr18;49782164;49783931;-;4920;acetyl-CoA acyltransferase 2
ACAA2P1;chrX;48775644;48776143;-;1327;ACAA2 pseudogene 1
ACACA;chr17;37084992;37087439;-;13022;acetyl-CoA carboxylase alpha
ACACB;chr12;109116587;109116704;+;14513;acetyl-CoA carboxylase beta
ACAD10;chr12;111686053;111686239;+;8934;acyl-CoA dehydrogenase family member 10
ACAD11;chr3;132558138;132559085;-;5033;acyl-CoA dehydrogenase family member 11
ACAD8;chr11;134253548;134253709;+;7121;acyl-CoA dehydrogenase family member 8
ACAD9;chr3;128879596;128879841;+;11841;acyl-CoA dehydrogenase family member 9
ACAD9-DT;chr3;128871913;128872405;-;3591;ACAD9 divergent transcript
ACADL;chr2;210187126;210189054;-;5152;acyl-CoA dehydrogenase long chain
ACADM;chr1;75724431;75724817;+;13774;acyl-CoA dehydrogenase medium chain
ACADS;chr12;120725774;120725931;+;2609;acyl-CoA dehydrogenase short chain
ACADSB;chr10;123008979;123009067;+;6234;acyl-CoA dehydrogenase short/branched chain
ACADVL;chr17;7217125;7217173;+;4820;acyl-CoA dehydrogenase very long chain
ACAN;chr15;88803436;88803809;+;10914;aggrecan
ACAP1;chr17;7336529;7336787;+;7420;ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
ACAP2;chr3;195274745;195279428;-;11066;ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
ACAP2-IT1;chr3;195280723;195280809;-;690;ACAP2 intronic transcript 1
ACAP3;chr1;1292390;1293708;-;8707;ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
ACAT1;chr11;108116695;108116902;+;5869;acetyl-CoA acetyltransferase 1
ACAT2;chr6;159762045;159762142;+;2639;acetyl-CoA acetyltransferase 2
ACBD3;chr1;226144679;226146821;-;3589;acyl-CoA binding domain containing 3
ACBD3-AS1;chr1;226148003;226148068;+;535;ACBD3 antisense RNA 1
ACBD4;chr17;45132600;45132663;+;3776;acyl-CoA binding domain containing 4
ACBD5;chr10;27168135;27170270;-;11794;acyl-CoA binding domain containing 5
ACBD6;chr1;180269653;180271971;-;7512;acyl-CoA binding domain containing 6
ACBD7;chr10;15075475;15078603;-;3546;acyl-CoA binding domain containing 7
ACCS;chr11;44065925;44066012;+;5841;1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACD;chr16;67657512;67657684;-;3218;ACD shelterin complex subunit and telomerase recruitment factor
ACE;chr17;63477061;63477343;+;8365;angiotensin I converting enzyme
ACE2;chrX;15494566;15494849;-;9739;angiotensin converting enzyme 2
ACER2;chr9;19409009;19409192;+;2773;alkaline ceramidase 2
ACER3;chr11;76860859;76861079;+;23102;alkaline ceramidase 3
ACHE;chr7;100889994;100890335;-;4074;acetylcholinesterase (Cartwright blood group)
ACIN1;chr14;23058564;23059474;-;9110;apoptotic chromatin condensation inducer 1
ACKR1;chr1;159203307;159203470;+;2106;atypical chemokine receptor 1 (Duffy blood group)
ACKR2;chr3;42804752;42804844;+;5460;atypical chemokine receptor 2
ACKR3;chr2;236567787;236567841;+;2070;atypical chemokine receptor 3
ACKR4;chr3;132597270;132597323;+;2669;atypical chemokine receptor 4
ACKR4P1;chr6;138822747;138823799;+;1053;ACKR4 pseudogene 1
ACLY;chr17;41866917;41867904;-;5208;ATP citrate lyase
ACMSD;chr2;134838616;134838739;+;2716;aminocarboxymuconate semialdehyde decarboxylase
ACNATP;chr9;101334084;101334696;-;1225;acyl-CoA:amino acid N-acyltransferase pseudogene
ACO1;chr9;32384603;32384735;+;7555;aconitase 1
ACO2;chr22;41447830;41448032;+;11812;aconitase 2
ACOT1;chr14;73537143;73537878;+;1686;acyl-CoA thioesterase 1
ACOT11;chr1;54542257;54542437;+;9770;acyl-CoA thioesterase 11
ACOT12;chr5;81329996;81330543;-;2453;acyl-CoA thioesterase 12
ACOT13;chr6;24667035;24667344;+;4394;acyl-CoA thioesterase 13
ACOT2;chr14;73567620;73568129;+;2239;acyl-CoA thioesterase 2
ACOT4;chr14;73591873;73592416;+;1465;acyl-CoA thioesterase 4
ACOT6;chr14;73610945;73611041;+;1699;acyl-CoA thioesterase 6
ACOT7;chr1;6264269;6264695;-;3500;acyl-CoA thioesterase 7
ACOT8;chr20;45841721;45841956;-;4354;acyl-CoA thioesterase 8
ACOT9;chrX;23701055;23703982;-;6244;acyl-CoA thioesterase 9
ACOX1;chr17;75941507;75946795;-;8286;acyl-CoA oxidase 1
ACOX2;chr3;58505136;58505286;-;3823;acyl-CoA oxidase 2
ACOX3;chr4;8366282;8367080;-;3846;acyl-CoA oxidase 3, pristanoyl
ACOXL;chr2;110732539;110732774;+;8169;acyl-CoA oxidase like
ACOXL-AS1;chr2;111098345;111101143;-;5839;ACOXL antisense RNA 1
ACP1;chr2;264140;264498;+;4160;acid phosphatase 1
ACP2;chr11;47239302;47240249;-;3484;acid phosphatase 2, lysosomal
ACP3;chr3;132317369;132317576;+;4280;acid phosphatase 3
ACP4;chr19;50790415;50790525;+;1342;acid phosphatase 4
ACP5;chr19;11574653;11575252;-;4351;acid phosphatase 5, tartrate resistant
ACP6;chr1;147629652;147631065;-;11993;acid phosphatase 6, lysophosphatidic
ACP7;chr19;39083913;39083957;+;3044;acid phosphatase 7, tartrate resistant (putative)
ACR;chr22;50738196;50738312;+;2064;acrosin
ACRBP;chr12;6638075;6638404;-;2816;acrosin binding protein
ACRP1;chr2;113667478;113668033;-;698;ACR pseudogene 1
ACRV1;chr11;125671522;125672717;-;1963;acrosomal vesicle protein 1
ACSBG1;chr15;78167468;78171529;-;8148;acyl-CoA synthetase bubblegum family member 1
ACSBG2;chr19;6135247;6135360;+;3447;acyl-CoA synthetase bubblegum family member 2
ACSF2;chr17;50426158;50426389;+;5797;acyl-CoA synthetase family member 2
ACSF3;chr16;89088375;89088478;+;14575;acyl-CoA synthetase family member 3
ACSL1;chr4;184755595;184757265;-;6134;acyl-CoA synthetase long chain family member 1
ACSL3;chr2;222860942;222861258;+;14436;acyl-CoA synthetase long chain family member 3
ACSL4;chrX;109624244;109624321;-;9971;acyl-CoA synthetase long chain family member 4
ACSL5;chr10;112374116;112374269;+;4137;acyl-CoA synthetase long chain family member 5
ACSL6;chr5;131949973;131954371;-;16996;acyl-CoA synthetase long chain family member 6
ACSL6-AS1;chr5;132003592;132003811;+;923;ACSL6 antisense RNA 1
ACSM1;chr16;20623235;20623572;-;2873;acyl-CoA synthetase medium chain family member 1
ACSM2A;chr16;20451461;20451681;+;8195;acyl-CoA synthetase medium chain family member 2A
ACSM2B;chr16;20536226;20537362;-;8158;acyl-CoA synthetase medium chain family member 2B
ACSM3;chr16;20610243;20610310;+;7510;acyl-CoA synthetase medium chain family member 3
ACSM4;chr12;7304072;7304532;+;2684;acyl-CoA synthetase medium chain family member 4
ACSM5;chr16;20409534;20409665;+;3963;acyl-CoA synthetase medium chain family member 5
ACSM6;chr10;95194200;95194303;+;2808;acyl-CoA synthetase medium chain family member 6
ACSS1;chr20;25006230;25006925;-;8691;acyl-CoA synthetase short chain family member 1
ACSS2;chr20;34872146;34872403;+;5248;acyl-CoA synthetase short chain family member 2
ACSS3;chr12;80936414;80940246;+;18465;acyl-CoA synthetase short chain family member 3
ACTA1;chr1;229430365;229431642;-;2381;actin alpha 1, skeletal muscle
ACTA2;chr10;88935074;88935366;-;2976;actin alpha 2, smooth muscle
ACTA2-AS1;chr10;88932390;88932959;+;3183;ACTA2 antisense RNA 1
ACTB;chr7;5526409;5527891;-;4405;actin beta
ACTBP11;chr1;223863726;223864851;-;1126;ACTB pseudogene 11
ACTBP14;chr10;69022778;69023866;+;1089;ACTB pseudogene 14
ACTBP15;chr22;41074180;41075239;-;1060;ACTB pseudogene 15
ACTBP2;chr5;77784881;77786003;+;1123;ACTB pseudogene 2
ACTBP4;chr5;131659046;131660115;-;1070;ACTB pseudogene 4
ACTBP7;chr15;43989061;43990184;-;1124;ACTB pseudogene 7
ACTC1;chr15;34790230;34790555;-;2290;actin alpha cardiac muscle 1
ACTG1;chr17;81509413;81510833;-;4052;actin gamma 1
ACTG1P1;chr3;139493809;139494937;+;1129;actin gamma 1 pseudogene 1
ACTG1P10;chrX;53142832;53143913;-;1082;actin gamma 1 pseudogene 10
ACTG1P12;chr3;12070195;12071360;+;1166;actin gamma 1 pseudogene 12
ACTG1P14;chr9;6834456;6835577;+;1122;actin gamma 1 pseudogene 14
ACTG1P15;chr15;34373541;34374603;-;1063;actin gamma 1 pseudogene 15
ACTG1P17;chr15;82725873;82727431;-;2096;actin gamma 1 pseudogene 17
ACTG1P18;chr6;101430411;101431553;-;1143;actin gamma 1 pseudogene 18
ACTG1P20;chr1;27325329;27325796;+;468;actin gamma 1 pseudogene 20
ACTG1P22;chr2;57755428;57755787;+;2864;actin gamma 1 pseudogene 22
ACTG1P24;chr17;17242010;17242886;+;877;actin gamma 1 pseudogene 24
ACTG1P25;chr1;202861754;202861809;+;2321;actin gamma 1 pseudogene 25
ACTG1P3;chr20;1160584;1161697;+;1114;actin gamma 1 pseudogene 3
ACTG1P9;chr6;46204729;46207386;+;2658;actin gamma 1 pseudogene 9
ACTG2;chr2;73892314;73892476;+;3811;actin gamma 2, smooth muscle
ACTL10;chr20;33666943;33668525;+;1583;actin like 10
ACTL11P;chr3;49873347;49877305;-;3959;actin like 11, pseudogene
ACTL6A;chr3;179562886;179562973;+;3668;actin like 6A
ACTL6B;chr7;100643097;100643326;-;2376;actin like 6B
ACTL7A;chr9;108862266;108863756;+;1491;actin like 7A
ACTN1;chr14;68874128;68875017;-;14320;actinin alpha 1
ACTN1-DT;chr14;68979682;68979784;+;936;ACTN1 divergent transcript
ACTN2;chr1;236664141;236664205;+;17976;actinin alpha 2
ACTN3;chr11;66546395;66546786;+;3460;actinin alpha 3
ACTN4;chr19;38647649;38647907;+;6125;actinin alpha 4
ACTN4P1;chr4;116598161;116599611;+;1451;actinin alpha 4 pseudogene 1
ACTR10;chr14;58200080;58200294;+;4039;actin related protein 10
ACTR1A;chr10;102461881;102462060;-;4655;actin related protein 1A
ACTR1AP1;chr2;110184054;110185179;+;1126;ACTR1A pseudogene 1
ACTR1B;chr2;97655939;97656960;-;2853;actin related protein 1B
ACTR2;chr2;65227788;65227957;+;4041;actin related protein 2
ACTR3;chr2;113890063;113890323;+;11946;actin related protein 3
ACTR3-AS1;chr2;113831049;113831428;-;1581;ACTR3 antisense RNA 1
ACTR3B;chr7;152759749;152759926;+;6024;actin related protein 3B
ACTR3C;chr7;150243916;150249054;-;6460;actin related protein 3C
ACTR5;chr20;38748460;38748853;+;2547;actin related protein 5
ACTR6;chr12;100199122;100199230;+;3813;actin related protein 6
ACTR8;chr3;53867066;53868862;-;4016;actin related protein 8
ACTRT3;chr3;169766921;169768350;-;1671;actin related protein T3
ACVR1;chr2;157736251;157737665;-;9842;activin A receptor type 1
ACVR1B;chr12;51951699;51951834;+;5658;activin A receptor type 1B
ACVR1C;chr2;157526767;157534043;-;9054;activin A receptor type 1C
ACVR2A;chr2;147844517;147844706;+;6448;activin A receptor type 2A
ACVR2B;chr3;38453890;38454374;+;15705;activin A receptor type 2B
ACVR2B-AS1;chr3;38451027;38453225;-;2517;ACVR2B antisense RNA 1
ACVRL1;chr12;51906908;51906993;+;4961;activin A receptor like type 1
ACY1;chr3;51983340;51983589;+;4727;aminoacylase 1
ACY3;chr11;67642555;67642939;-;1371;aminoacylase 3
ACYP1;chr14;75053237;75053659;-;1803;acylphosphatase 1
ACYP2;chr2;53970838;53971321;+;4964;acylphosphatase 2
ADA;chr20;44584896;44585664;-;12177;adenosine deaminase
ADA2;chr22;17178790;17181576;-;11032;adenosine deaminase 2
ADAD2;chr16;84191138;84191648;+;4111;adenosine deaminase domain containing 2
ADAL;chr15;43330672;43330859;+;5734;adenosine deaminase like
ADAM10;chr15;58588809;58597641;-;15979;ADAM metallopeptidase domain 10
ADAM11;chr17;44758988;44759260;+;4813;ADAM metallopeptidase domain 11
ADAM12;chr10;126012381;126017339;-;9882;ADAM metallopeptidase domain 12
ADAM15;chr1;155050566;155050922;+;6584;ADAM metallopeptidase domain 15
ADAM17;chr2;9488486;9490518;-;15964;ADAM metallopeptidase domain 17
ADAM19;chr5;157395534;157395679;-;7704;ADAM metallopeptidase domain 19
ADAM1B;chr12;111927018;111929017;+;2000;ADAM metallopeptidase domain 1B (pseudogene)
ADAM20;chr14;70522358;70524933;-;2795;ADAM metallopeptidase domain 20
ADAM20P1;chr14;70453541;70453978;-;3733;ADAM metallopeptidase domain 20 pseudogene 1
ADAM21;chr14;70417107;70417188;+;3251;ADAM metallopeptidase domain 21
ADAM21P1;chr14;70245491;70247660;-;2311;ADAM metallopeptidase domain 21 pseudogene 1
ADAM22;chr7;87934143;87934550;+;13668;ADAM metallopeptidase domain 22
ADAM23;chr2;206443532;206444080;+;6425;ADAM metallopeptidase domain 23
ADAM28;chr8;24294069;24294195;+;9381;ADAM metallopeptidase domain 28
ADAM29;chr4;174829668;174829866;+;5957;ADAM metallopeptidase domain 29
ADAM32;chr8;39106990;39107199;+;10050;ADAM metallopeptidase domain 32
ADAM33;chr20;3667965;3669000;-;5386;ADAM metallopeptidase domain 33
ADAM3B;chr16;49517762;49518601;-;840;ADAM metallopeptidase domain 3B (pseudogene)
ADAM5;chr8;39314591;39314717;+;2852;ADAM metallopeptidase domain 5 (pseudogene)
ADAM7;chr8;24440930;24441160;+;4483;ADAM metallopeptidase domain 7
ADAM7-AS1;chr8;24295814;24296057;-;1341;ADAM7, ADAMDEC1 and ADAM28 antisense RNA 1
ADAM7-AS2;chr8;24490312;24490506;-;1267;ADAM7 antisense RNA 2
ADAM8;chr10;133262420;133263233;-;4763;ADAM metallopeptidase domain 8
ADAM9;chr8;38996754;38997160;+;17704;ADAM metallopeptidase domain 9
ADAMDEC1;chr8;24384285;24384592;+;2438;ADAM like decysin 1
ADAMTS1;chr21;26835755;26838278;-;7303;ADAM metallopeptidase with thrombospondin type 1 motif 1
ADAMTS10;chr19;8580240;8581002;-;5705;ADAM metallopeptidase with thrombospondin type 1 motif 10
ADAMTS12;chr5;33523535;33527366;-;9605;ADAM metallopeptidase with thrombospondin type 1 motif 12
ADAMTS13;chr9;133414358;133414644;+;5708;ADAM metallopeptidase with thrombospondin type 1 motif 13
ADAMTS14;chr10;70672506;70672884;+;5566;ADAM metallopeptidase with thrombospondin type 1 motif 14
ADAMTS15;chr11;130448645;130449930;+;6006;ADAM metallopeptidase with thrombospondin type 1 motif 15
ADAMTS16;chr5;5140330;5140539;+;5863;ADAM metallopeptidase with thrombospondin type 1 motif 16
ADAMTS16-DT;chr5;5132084;5133232;-;6878;ADAMTS16 divergent transcript
ADAMTS17;chr15;99971437;99974562;-;8390;ADAM metallopeptidase with thrombospondin type 1 motif 17
ADAMTS18;chr16;77247813;77248065;-;6598;ADAM metallopeptidase with thrombospondin type 1 motif 18
ADAMTS19;chr5;129460281;129460482;+;5392;ADAM metallopeptidase with thrombospondin type 1 motif 19
ADAMTS19-AS1;chr5;129424782;129426853;-;3314;ADAMTS19 antisense RNA 1
ADAMTS2;chr5;179110853;179114324;-;8965;ADAM metallopeptidase with thrombospondin type 1 motif 2
ADAMTS20;chr12;43353866;43354298;-;7464;ADAM metallopeptidase with thrombospondin type 1 motif 20
ADAMTS3;chr4;72280969;72283704;-;7007;ADAM metallopeptidase with thrombospondin type 1 motif 3
ADAMTS4;chr1;161184302;161191564;-;10338;ADAM metallopeptidase with thrombospondin type 1 motif 4
ADAMTS5;chr21;26917922;26924620;-;9765;ADAM metallopeptidase with thrombospondin type 1 motif 5
ADAMTS6;chr5;65148738;65151945;-;8565;ADAM metallopeptidase with thrombospondin type 1 motif 6
ADAMTS7;chr15;78759206;78759578;-;7760;ADAM metallopeptidase with thrombospondin type 1 motif 7
ADAMTS7P1;chr15;82298553;82298903;+;4875;ADAMTS7 pseudogene 1
ADAMTS7P3;chr15;77976042;77976187;+;3758;ADAMTS7 pseudogene 3
