"","ID","ensembl_gene_id","entrezgene_id","chromosome_name","start_position","end_position","strand","percentage_gene_gc_content","description","transcript_length","cds_length"
"29068","HIRA","ENSG00000100084",7290,"22",19330698,19447450,"-",46.11,"histone cell cycle regulator",3395,2433
"43323","PRR5","ENSG00000186654",55615,"22",44668547,44737681,"+",56.73,"proline rich 5",1726,882
"443","ADCY5","ENSG00000173175",111,"3",123282296,123449090,"-",51.17,"adenylate cyclase 5",6643,3948
"57315","ZNF141","ENSG00000131127",7700,"4",337814,384868,"+",40.31,"zinc finger protein 141",536,NA
"5852","DCAF16","ENSG00000163257",54876,"4",17793446,17810758,"-",38.69,"DDB1 and CUL4 associated factor 16",2633,NA
"4110","CEP44","ENSG00000164118",80817,"4",174283730,174333380,"+",35.65,"centrosomal protein 44",600,336
"54572","TNPO1","ENSG00000083312",3842,"5",72816312,72916733,"+",37.25,"transportin 1",11040,2613
"54217","TMEM161B","ENSG00000164180",153396,"5",88185575,88269476,"-",35.56,"transmembrane protein 161B",5735,1509
"38788","N4BP3","ENSG00000145911",23138,"5",178113532,178127034,"+",59.62,"NEDD4 binding protein 3",5985,1635
"7139","EHMT2","ENSG00000204371",10919,"6",31879759,31897698,"-",53.84,"euchromatic histone lysine methyltransferase 2",1517,NA
"27347","FZD9","ENSG00000188763",8326,"7",73433778,73436120,"+",68.46,"frizzled class receptor 9",2343,1776
"50699","SH2B2","ENSG00000160999",10603,"7",102285091,102321711,"+",56.99,"SH2B adaptor protein 2",490,144
"52802","SSPOP","ENSG00000197558",NA,"7",149776042,149833829,"+",61.02,"SCO-spondin, pseudogene",15799,NA
"51506","SMARCD3","ENSG00000082014",6604,"7",151238764,151277896,"-",56.14,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3",468,NA
"9115","ENSG00000227619","ENSG00000227619",105376292,"9",129575117,129584557,"+",53.72,"novel transcript",1860,NA
"44013","RALGDS","ENSG00000160271",5900,"9",133097720,133149334,"-",58.92,"ral guanine nucleotide dissociation stimulator",5596,NA
"39239","NELFB","ENSG00000188986",25920,"9",137255327,137273542,"+",56.43,"negative elongation factor complex member B",2540,1887
"38029","MT-TC","ENSG00000210140",NA,"MT",5761,5826,"-",45.45,"mitochondrially encoded tRNA-Cys (UGU/C)",66,NA
"38049","MT-TY","ENSG00000210144",NA,"MT",5826,5891,"-",42.42,"mitochondrially encoded tRNA-Tyr (UAU/C)",66,NA
"44061","RAP2C","ENSG00000123728",57826,"X",132203024,132219480,"-",37.77,"RAP2C, member of RAS oncogene family",3341,354
